OID_,gasht_name_str,ZONE_CODE,COUNT,AREA,MEDIAN
252,17869,252,889.000000000000000,800100.000000000000000,0.048625979572535
253,13587,253,223.000000000000000,200700.000000000000000,0.020669467747211
254,14167,254,130.000000000000000,117000.000000000000000,0.033959258347750
255,15456,255,40.000000000000000,36000.000000000000000,0.072457529604435
256,13476,256,112.000000000000000,100800.000000000000000,0.016698837280273
257,14417,257,130.000000000000000,117000.000000000000000,0.027912357822061
258,14688,258,165.000000000000000,148500.000000000000000,0.047444280236959
259,15779,259,53.000000000000000,47700.000000000000000,0.034301970154047
260,15616,260,42.000000000000000,37800.000000000000000,0.017332785762846
261,14857,261,1782.000000000000000,1603800.000000000000000,0.053627388551831
262,16319,262,232.000000000000000,208800.000000000000000,0.038307512179017
263,13598,263,415.000000000000000,373500.000000000000000,0.034245707094669
264,15657,264,81.000000000000000,72900.000000000000000,0.031704515218735
265,14338,265,203.000000000000000,182700.000000000000000,0.047191251069307
266,13149,266,77.000000000000000,69300.000000000000000,0.030137708410621
267,15736,267,127.000000000000000,114300.000000000000000,0.070489682257175
268,14837,268,716.000000000000000,644400.000000000000000,0.043220259249210
269,17639,269,109.000000000000000,98100.000000000000000,0.020305885002017
270,19637,270,135.000000000000000,121500.000000000000000,0.113829158246517
271,15418,271,108.000000000000000,97200.000000000000000,0.052027523517609
272,11638,272,84.000000000000000,75600.000000000000000,0.015220772009343
273,14587,273,403.000000000000000,362700.000000000000000,0.044389653950930
274,11576,274,259.000000000000000,233100.000000000000000,0.049775108695030
275,18316,275,178.000000000000000,160200.000000000000000,0.034777279943228
276,15467,276,56.000000000000000,50400.000000000000000,0.101238679140806
277,11757,277,102.000000000000000,91800.000000000000000,0.031701438128948
278,13118,278,72.000000000000000,64800.000000000000000,0.018153835088015
279,18537,279,307.000000000000000,276300.000000000000000,0.059611193835735
280,14489,280,278.000000000000000,250200.000000000000000,0.069196127355099
281,16477,281,302.000000000000000,271800.000000000000000,0.047579068690538
282,13777,282,1107.000000000000000,996300.000000000000000,0.065352350473404
283,15748,283,74.000000000000000,66600.000000000000000,0.066746842116117
284,19596,284,187.000000000000000,168300.000000000000000,0.056364472955465
285,14419,285,153.000000000000000,137700.000000000000000,0.037101786583662
286,15989,286,164.000000000000000,147600.000000000000000,0.024583877995610
287,17689,287,151.000000000000000,135900.000000000000000,0.035133499652147
288,11187,288,103.000000000000000,92700.000000000000000,0.044285442680120
289,18336,289,91.000000000000000,81900.000000000000000,0.023874633014202
290,15148,290,55.000000000000000,49500.000000000000000,0.047987602651119
291,18197,291,119.000000000000000,107100.000000000000000,0.039090570062399
292,19859,292,387.000000000000000,348300.000000000000000,0.120971038937569
293,19847,293,270.000000000000000,243000.000000000000000,0.065169822424650
294,19758,294,232.000000000000000,208800.000000000000000,0.111326701939106
295,19858,295,827.000000000000000,744300.000000000000000,0.102645032107830
296,18796,296,369.000000000000000,332100.000000000000000,0.071107655763626
297,18778,297,164.000000000000000,147600.000000000000000,0.050173277035356
298,18638,298,238.000000000000000,214200.000000000000000,0.064607571810484
299,18818,299,102.000000000000000,91800.000000000000000,0.230652652680874
300,18657,300,296.000000000000000,266400.000000000000000,0.042504070326686
301,18479,301,117.000000000000000,105300.000000000000000,0.052138473838568
302,18749,302,302.000000000000000,271800.000000000000000,0.086059387773275
303,19988,303,1441.000000000000000,1296900.000000000000000,0.046675089746714
304,17166,304,58.000000000000000,52200.000000000000000,0.032082695513964
305,17447,305,134.000000000000000,120600.000000000000000,0.034424092620611
306,14397,306,184.000000000000000,165600.000000000000000,0.042547330260277
307,11816,307,150.000000000000000,135000.000000000000000,0.029204249382019
308,19986,308,789.000000000000000,710100.000000000000000,0.067583203315735
309,19639,309,267.000000000000000,240300.000000000000000,0.211681723594666
310,11167,310,81.000000000000000,72900.000000000000000,0.044211115688086
311,11696,311,295.000000000000000,265500.000000000000000,0.018247323110700
312,11396,312,40.000000000000000,36000.000000000000000,0.014000379480422
313,15617,313,58.000000000000000,52200.000000000000000,0.031262419186532
314,16737,314,119.000000000000000,107100.000000000000000,0.052175663411617
315,17739,315,130.000000000000000,117000.000000000000000,0.039541475474834
316,15649,316,94.000000000000000,84600.000000000000000,0.038670470938087
317,15478,317,56.000000000000000,50400.000000000000000,0.061314482241869
318,16367,318,281.000000000000000,252900.000000000000000,0.021235503256321
319,14447,319,178.000000000000000,160200.000000000000000,0.036767158657312
320,16396,320,645.000000000000000,580500.000000000000000,0.053348928689957
